Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@28@20@30
Avg. Estimate@0.75@0.8@2.48@4.78
Low Estimate@0.55@0.57@2.29@1.9
High Estimate@0.8@1.04@2.69@10.2
Year Ago EPS@1.05@0.56@6.35@2.48
