Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@29@22@32
Avg. Estimate@5.29B@5.47B@20.69B@24.47B
Low Estimate@4.93B@4.94B@19.93B@20.48B
High Estimate@5.5B@6.29B@21.7B@31B
Year Ago Sales@4.79B@4.87B@23.41B@20.69B
