Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.75@0.8@2.48@4.78
7 Days Ago@0.68@0.79@2.41@4.79
30 Days Ago@0.56@0.68@2.2@4.8
60 Days Ago@0.55@0.68@2.19@4.87
90 Days Ago@0.55@0.9@2.33@5.59
