ModuleTitle@CompanyName@Symbol@Address@Phone@Industry@Sector@Region@CompanyDescription@KeyExecutives
Company Description@Micron Technology, Inc.@MU@8000 S FEDERAL WAY PO BOX 6, BOISE, Idaho, 83716-9632, United States of America@2083684000@Semiconductors@Technology@North America@"Micron Technology, Inc., including its consolidated subsidiaries, is an industry
leader in innovative memory and storage solutions. Through our global brands -
Micron®, Crucial®, and Ballistix® - our broad portfolio of high-performance
memory and storage technologies, including DRAM, NAND, 3D XPointTM memory, and
NOR, is transforming how the world uses information to enrich life. Backed by 40
years of technology leadership, our memory and storage solutions enable
disruptive trends, including artificial intelligence, 5G, machine learning, and
autonomous vehicles, in key market segments like mobile, data center, client,
consumer, industrial, graphics, automotive, and networking.

We manufacture our products at wholly-owned and joint venture facilities and
also utilize subcontractors to perform certain manufacturing processes.&nbsp;&nbsp;... <a href=""http://secfilings.nasdaq.com/edgar_conv_html%2f2019%2f10%2f17%2f0000723125-19-000094.html#FIS_BUSINESS"" target=""_blank"">More</a> ...&nbsp;&nbsp;
"@[('David A. Zinsner', 'Chief Financial Officer & Senior Vice President'), ('Manish Bhatia', 'Executive Vice President-Global Operations'), ('Sanjay Mehrotra', 'President, Chief Executive Officer & Director'), ('Scott J. DeBoer', 'Executive Vice President-Technology & Products'), ('Sumit Sadana', 'Chief Business Officer & Executive Vice President')]
