Date@Items@documentLink
2020-05-07@['Item 5.07']@/ix?doc=/Archives/edgar/data/2488/000000248820000068/a8-kxannualmeeting2020.htm
2020-04-28@['Item 2.02', 'Item 7.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/2488/000000248820000048/a2020q1earnings8-k.htm
2020-03-06@['Item 5.03', 'Item 9.01']@/ix?doc=/Archives/edgar/data/2488/000000248820000034/a8kamendmenttobylaws36.htm
2020-02-11@['Item 5.02']@/ix?doc=/Archives/edgar/data/2488/000000248820000019/amd8k-kneoeip2x11x2020.htm
2020-01-28@['Item 2.02', 'Item 7.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/2488/000000248820000006/a20200128q419earnings8.htm
2019-12-13@['Item 5.02', 'Item 9.01']@/ix?doc=/Archives/edgar/data/2488/000000248819000186/appointmentofnewdirect.htm
2019-11-25@['Item 3.02', 'Item 7.01']@/ix?doc=/Archives/edgar/data/2488/000000248819000178/amdform8kequitysales11.htm
2019-11-07@['Item 3.02', 'Item 7.01']@/ix?doc=/Archives/edgar/data/2488/000000248819000165/amdform8kequitysales11.htm
2019-10-29@['Item 2.02', 'Item 7.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/2488/000000248819000157/a20191029q319earnings8.htm
2019-09-03@['Item 3.02', 'Item 7.01']@/ix?doc=/Archives/edgar/data/2488/000000248819000144/amdform8kequitysalesse.htm
2019-08-05@['Item 5.02']@/ix?doc=/Archives/edgar/data/2488/000000248819000113/amdform8k08082019.htm
2019-07-30@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248819000102/a20190730q219earnings8-k.htm
2019-06-21@['Item 5.02']@/Archives/edgar/data/2488/000000248819000096/a8-kneosalariesandlti2019.htm
2019-06-07@['Item 1.01', 'Item 2.03', 'Item 9.01']@/Archives/edgar/data/2488/000000248819000088/form8-kcreditfacility060719.htm
2019-05-15@['Item 5.07']@/Archives/edgar/data/2488/000000248819000059/amd2019annualmeeting8-k515.htm
2019-04-30@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248819000043/a20190430q119earnings8-k.htm
2019-02-19@['Item 5.02']@/Archives/edgar/data/2488/000000248819000022/form8-kneoeipandsalaries21.htm
2019-02-13@['Item 3.02']@/Archives/edgar/data/2488/000000248819000018/a201902form8-kwarrantshare.htm
2019-01-28@['Item 1.01', 'Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248819000004/a20190129q418earnings8-k.htm
2018-10-24@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248818000186/a20181024q318earnings8-k.htm
2018-08-22@['Item 5.02', 'Item 7.01']@/Archives/edgar/data/2488/000000248818000166/amd_form8-svp82718.htm
2018-07-31@['Item 5.02']@/Archives/edgar/data/2488/000000248818000130/amd_form8-kneolti2018.htm
2018-07-25@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248818000124/a20180725q218earnings8-k.htm
2018-06-26@['Item 5.02']@/Archives/edgar/data/2488/000000248818000112/form8-kneosalaries2018forf.htm
2018-05-08@['Item 5.07']@/Archives/edgar/data/2488/000000248818000086/amd2018annualmeeting8-k.htm
2018-04-25@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248818000058/a20180425q118earnings8-k.htm
2018-03-05@['Item 5.02']@/Archives/edgar/data/2488/000000248818000047/form8-kndonofrio3218.htm
2018-02-27@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248818000043/a6form8-kasc606disclosurev.htm
2018-02-12@['Item 5.02']@/Archives/edgar/data/2488/000000248818000026/amd-form8xk2017eip0218.htm
2018-01-30@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248818000014/a20180130q417earnings8-k.htm
2017-11-01@['Item 5.02', 'Item 9.01']@/Archives/edgar/data/2488/000000248817000219/form8-kdurcan.htm
2017-10-24@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248817000213/a20171024q317earnings8-k.htm
2017-08-01@['Item 5.02']@/Archives/edgar/data/2488/000000248817000164/amd_form8-kneolti2017re.htm
2017-07-25@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248817000150/a20170725q217earnings8-k.htm
2017-06-30@['Item 5.02', 'Item 9.01']@/Archives/edgar/data/2488/000000248817000141/form8-kneosalariesnewdirec.htm
2017-05-01@['Item 2.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/2488/000000248817000096/a20170501q117earnings8-k.htm
2017-04-26@['Item 5.07']@/Archives/edgar/data/2488/000119312517148386/d382072d8k.htm
2017-03-21@['Item 1.01', 'Item 2.03', 'Item 9.01']@/Archives/edgar/data/2488/000000248817000070/amd-form8xkxfifthamendment.htm
