OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@112,023,973@3,896,788@3.604%@$5,933,910
BLACKROCK INC.@03/31/2020@82,635,343@3,778,717@4.792%@$4,377,194
FMR LLC@03/31/2020@50,044,240@-7,740,607@-13.396%@$2,650,843
CAPITAL WORLD INVESTORS@03/31/2020@47,990,133@19,615,477@69.13%@$2,542,037
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@45,917,948@-244,354@-0.529%@$2,432,274
