Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@31@31@35@35
Avg. Estimate@0.16@0.31@1.03@1.52
Low Estimate@0.12@0.26@0.83@1.25
High Estimate@0.21@0.4@1.2@2.12
Year Ago EPS@0.08@0.18@0.64@1.03
