Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.16@0.31@1.03@1.52
7 Days Ago@0.16@0.31@1.03@1.51
30 Days Ago@0.16@0.31@1.04@1.53
60 Days Ago@0.21@0.33@1.1@1.59
90 Days Ago@0.22@0.35@1.15@1.61
