Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@30@30@37@37
Avg. Estimate@1.85B@2.3B@8.41B@10.21B
Low Estimate@1.78B@2.15B@8.15B@9.2B
High Estimate@1.91B@2.55B@8.92B@11.79B
Year Ago Sales@1.53B@1.8B@6.73B@8.41B
