Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@17@17@16@17
Avg. Estimate@1.19@1.18@4.76@5.26
Low Estimate@1.13@1.11@4.59@4.95
High Estimate@1.28@1.28@5.01@5.55
Year Ago EPS@1.1@1.12@4.38@4.76
