Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@15@17@17
Avg. Estimate@687.3M@689.82M@2.77B@2.93B
Low Estimate@660.7M@641.2M@2.72B@2.82B
High Estimate@708M@719M@2.85B@3.04B
Year Ago Sales@N/A@652.7M@2.61B@2.77B
