Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.19@1.18@4.76@5.26
7 Days Ago@1.19@1.18@4.76@5.26
30 Days Ago@1.22@1.21@4.81@5.31
60 Days Ago@1.23@1.22@4.85@5.37
90 Days Ago@1.25@1.24@4.91@5.43
