OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@18,256,441@402,336@2.253%@$3,097,570
BLACKROCK INC.@03/31/2020@12,867,304@293,700@2.336%@$2,183,195
STATE STREET CORP@03/31/2020@6,797,808@-93,426@-1.356%@$1,153,384
MASSACHUSETTS FINANCIAL SERVICES CO /MA/@03/31/2020@6,617,710@-198,515@-2.912%@$1,122,827
PARNASSUS INVESTMENTS /CA@03/31/2020@4,904,848@-24,610@-0.499%@$832,206
