ModuleTitle@CompanyName@Symbol@Address@Phone@Industry@Sector@Region@CompanyDescription@KeyExecutives
Company Description@Starbucks Corporation@SBUX@P O  BOX 34067, SEATTLE, Washington, 98124-1067, United States of America@2064471575@Restaurants@Consumer Services@North America@"Starbucks is the premier roaster, marketer and retailer of specialty coffee in
the world, operating in 81 markets. Formed in 1985, Starbucks Corporation's
common stock trades on the NASDAQ Global Select Market (""NASDAQ"") under the
symbol ""SBUX."" We purchase and roast high-quality coffees that we sell, along
with handcrafted coffee, tea and other beverages and a variety of high-quality
food items through company-operated stores. We also sell a variety of coffee and
tea products and license our trademarks through other channels such as licensed
stores, as well as grocery and foodservice through our Global Coffee Alliance
with Nestlé S. A. (""Nestlé""). In addition to our flagship Starbucks Coffee
brand, we sell goods and services under the following brands: Teavana, Seattle's
Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve and Princi.
Our objective is to maintain Starbucks standing as one of the most recognized
and respected brands in the world.&nbsp;&nbsp;... <a href=""http://secfilings.nasdaq.com/edgar_conv_html%2f2019%2f11%2f15%2f0000829224-19-000051.html#FIS_BUSINESS"" target=""_blank"">More</a> ...&nbsp;&nbsp;
"@[('Gerri Martin-Flickinger', 'Chief Technology Officer & Executive VP'), ('Kevin R. Johnson', 'President, Chief Executive Officer & Director'), ('Patrick J. Grismer', 'Chief Financial Officer'), ('Rosalind Gates Brewer', 'COO, Director & Group President-Americas')]
