Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@27@27@33@32
Avg. Estimate@-0.16@0.38@1.37@2.75
Low Estimate@-1.05@0.04@0.23@2.17
High Estimate@0.5@0.71@1.95@3.12
Year Ago EPS@0.78@0.7@2.83@1.37
