Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@-0.16@0.38@1.37@2.75
7 Days Ago@-0.16@0.38@1.36@2.75
30 Days Ago@-0.17@0.38@1.37@2.76
60 Days Ago@0.26@0.61@2.03@2.98
90 Days Ago@0.76@0.79@2.85@3.37
