Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@29@28
Avg. Estimate@4.43B@6.09B@23.65B@27.96B
Low Estimate@3.57B@5.29B@22.26B@23.5B
High Estimate@5.28B@6.71B@24.75B@29.41B
Year Ago Sales@6.82B@6.75B@26.51B@23.65B
