Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@26@24@29@27
Avg. Estimate@1.2@1.39@3.02@6.09
Low Estimate@1.11@0.85@2.92@4.4
High Estimate@1.3@1.78@3.11@7.64
Year Ago EPS@0.17@0.34@4.84@3.02
