Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.2@1.39@3.02@6.09
7 Days Ago@1.2@1.39@3.02@6.15
30 Days Ago@1.2@1.42@3.05@6.29
60 Days Ago@1.23@1.61@3.17@7.25
90 Days Ago@1.26@1.75@3.2@7.71
