Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@25@24@26@26
Avg. Estimate@4.34B@4.37B@16.79B@17.56B
Low Estimate@4.16B@4.09B@16.61B@16.36B
High Estimate@4.44B@4.71B@16.83B@18.5B
Year Ago Sales@3.63B@4.04B@16.57B@16.79B
