OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@35,891,413@478,205@1.35%@$1,741,810
BLACKROCK INC.@03/31/2020@25,503,794@-229,377@-0.891%@$1,237,699
STATE STREET CORP@03/31/2020@12,404,386@-702,022@-5.356%@$601,985
CLEARBRIDGE INVESTMENTS, LLC@03/31/2020@10,730,178@-8,319@-0.077%@$520,736
FMR LLC@03/31/2020@8,800,185@-3,138,936@-26.291%@$427,073
