@Date@ULTOSC_value
0@2020-06-12@48.1878
1@2020-06-05@55.0876
2@2020-05-29@60.0772
3@2020-05-22@51.5413
4@2020-05-15@54.5319
5@2020-05-08@55.2534
6@2020-05-01@56.4761
7@2020-04-24@56.4272
8@2020-04-17@53.3239
9@2020-04-09@47.8829
10@2020-04-03@46.1405
11@2020-03-27@43.3875
12@2020-03-20@39.4420
13@2020-03-13@34.4669
14@2020-03-06@32.0019
15@2020-02-28@35.9536
16@2020-02-21@40.2928
17@2020-02-14@38.4176
18@2020-02-07@38.0880
19@2020-01-31@41.8126
20@2020-01-24@46.4268
21@2020-01-17@55.7336
22@2020-01-10@54.1539
23@2020-01-03@54.1053
24@2019-12-27@55.8768
25@2019-12-20@60.0225
26@2019-12-13@63.1666
27@2019-12-06@69.1713
28@2019-11-29@60.3133
29@2019-11-22@58.7910
30@2019-11-15@57.2506
31@2019-11-08@51.0769
32@2019-11-01@48.5866
33@2019-10-25@44.8065
34@2019-10-18@45.9442
35@2019-10-11@42.8682
36@2019-10-04@38.9537
37@2019-09-27@39.7343
38@2019-09-20@46.0730
39@2019-09-13@44.0846
40@2019-09-06@39.7642
41@2019-08-30@31.1428
42@2019-08-23@33.8358
43@2019-08-16@33.2500
44@2019-08-09@36.6670
45@2019-08-02@44.9635
46@2019-07-26@45.9898
47@2019-07-19@52.5571
48@2019-07-12@48.6618
49@2019-07-05@54.0224
50@2019-06-28@57.8550
51@2019-06-21@52.9253
52@2019-06-14@46.8533
53@2019-06-07@50.8036
54@2019-05-31@45.6733
55@2019-05-24@50.9602
56@2019-05-17@54.3718
57@2019-05-10@53.4250
58@2019-05-03@52.5522
59@2019-04-26@54.1221
60@2019-04-18@48.7758
61@2019-04-12@59.5533
62@2019-04-05@65.6942
63@2019-03-29@67.0002
64@2019-03-22@58.6664
65@2019-03-15@64.7921
66@2019-03-08@63.5206
67@2019-03-01@72.6139
68@2019-02-22@71.2896
69@2019-02-15@71.3232
70@2019-02-08@67.3409
71@2019-02-01@62.4691
72@2019-01-25@53.9400
73@2019-01-18@45.2661
74@2019-01-11@41.9806
75@2019-01-04@39.3832
76@2018-12-28@35.7265
77@2018-12-21@33.6789
78@2018-12-14@47.1726
79@2018-12-07@49.6554
80@2018-11-30@57.5256
81@2018-11-23@52.6007
82@2018-11-16@48.1647
83@2018-11-09@53.3667
84@2018-11-02@54.5012
85@2018-10-26@48.1817
86@2018-10-19@49.3747
87@2018-10-12@50.1480
88@2018-10-05@56.5843
89@2018-09-28@60.8417
90@2018-09-21@48.3721
91@2018-09-14@42.2620
92@2018-09-07@39.1338
93@2018-08-31@40.7215
94@2018-08-24@41.5968
95@2018-08-17@47.3693
96@2018-08-10@50.8753
97@2018-08-03@58.0051
98@2018-07-27@69.0039
99@2018-07-20@72.6441
100@2018-07-13@75.5317
101@2018-07-06@70.8007
102@2018-06-29@65.0252
103@2018-06-22@66.5550
104@2018-06-15@58.4309
105@2018-06-08@61.5473
106@2018-06-01@60.6272
107@2018-05-25@58.3559
108@2018-05-18@60.2260
109@2018-05-11@60.4646
110@2018-05-04@48.6813
111@2018-04-27@48.0641
112@2018-04-20@43.6805
113@2018-04-13@44.1942
114@2018-04-06@44.8429
115@2018-03-29@47.5061
116@2018-03-23@44.8500
117@2018-03-16@48.2401
118@2018-03-09@53.6758
119@2018-03-02@47.6015
120@2018-02-23@48.9945
121@2018-02-16@47.5542
122@2018-02-09@41.8024
123@2018-02-02@46.1304
124@2018-01-26@58.0109
125@2018-01-19@56.6219
126@2018-01-12@59.6338
127@2018-01-05@55.9288
128@2017-12-29@55.0194
129@2017-12-22@53.3205
130@2017-12-15@46.0880
131@2017-12-08@39.4698
132@2017-12-01@32.8374
133@2017-11-24@31.9280
134@2017-11-17@31.6836
135@2017-11-10@31.9122
136@2017-11-03@32.1573
137@2017-10-27@40.7148
138@2017-10-20@42.5671
139@2017-10-13@50.4466
140@2017-10-06@54.5796
141@2017-09-29@52.5869
142@2017-09-22@51.5878
143@2017-09-15@53.6682
144@2017-09-08@52.2347
145@2017-09-01@61.4327
146@2017-08-25@56.1796
147@2017-08-18@54.3481
148@2017-08-11@53.4839
149@2017-08-04@58.9996
150@2017-07-28@60.3380
151@2017-07-21@60.4611
152@2017-07-14@58.6864
153@2017-07-07@49.0934
154@2017-06-30@45.8312
155@2017-06-23@45.2338
156@2017-06-16@38.3692
157@2017-06-09@39.3849
158@2017-06-02@35.9942
159@2017-05-26@35.9405
160@2017-05-19@41.0428
161@2017-05-12@47.4161
162@2017-05-05@52.4226
163@2017-04-28@51.9846
164@2017-04-21@40.1867
165@2017-04-13@44.2041
166@2017-04-07@45.3485
167@2017-03-31@44.7120
168@2017-03-24@42.7021
169@2017-03-17@40.4045
170@2017-03-10@42.3433
171@2017-03-03@41.9772
172@2017-02-24@37.5666
173@2017-02-17@48.9077
174@2017-02-10@47.6790
175@2017-02-03@52.7367
176@2017-01-27@54.9168
177@2017-01-20@58.2592
178@2017-01-13@60.2662
179@2017-01-06@63.7860
180@2016-12-30@56.9340
181@2016-12-23@50.5578
182@2016-12-16@43.7066
183@2016-12-09@47.7515
184@2016-12-02@43.4362
185@2016-11-25@40.0795
186@2016-11-18@39.5159
187@2016-11-11@37.6367
188@2016-11-04@44.3736
189@2016-10-28@51.2563
190@2016-10-21@39.5911
191@2016-10-14@36.4894
192@2016-10-07@39.6569
193@2016-09-30@36.0142
194@2016-09-23@33.8981
195@2016-09-16@41.2264
196@2016-09-09@34.2033
197@2016-09-02@34.8521
198@2016-08-26@40.1732
199@2016-08-19@48.8018
200@2016-08-12@54.5867
201@2016-08-05@48.4773
202@2016-07-29@38.2667
203@2016-07-22@34.3468
204@2016-07-15@35.3750
205@2016-07-08@38.4198
206@2016-07-01@37.1594
207@2016-06-24@33.2144
208@2016-06-17@36.0887
209@2016-06-10@35.7464
210@2016-06-03@44.3375
211@2016-05-27@44.9921
212@2016-05-20@40.5904
213@2016-05-13@44.4891
214@2016-05-06@46.8767
215@2016-04-29@46.3305
216@2016-04-22@52.5041
217@2016-04-15@49.4494
218@2016-04-08@45.8393
219@2016-04-01@46.9433
220@2016-03-24@42.8956
221@2016-03-18@42.5717
222@2016-03-11@43.1337
223@2016-03-04@47.5184
224@2016-02-26@46.6196
225@2016-02-19@42.9139
