Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@28@31@33
Avg. Estimate@522.52M@642.65M@2.43B@3.05B
Low Estimate@516.04M@554.3M@2.28B@2.65B
High Estimate@573.23M@712.64M@2.57B@3.83B
Year Ago Sales@N/A@N/A@2.36B@2.43B
