Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@31@30@32@35
Avg. Estimate@-0.34@0.02@-0.29@1.06
Low Estimate@-0.48@-0.36@-1.24@-1
High Estimate@-0.2@0.17@0.17@3.53
Year Ago EPS@0.3@0.58@1.88@-0.29
