Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@-0.34@0.02@-0.29@1.06
7 Days Ago@-0.34@0.02@-0.29@1.06
30 Days Ago@-0.23@0.16@0.13@1.42
60 Days Ago@-0.21@0.16@0.15@1.43
90 Days Ago@-0.2@0.17@0.26@1.49
