Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@27@27@28@30
Avg. Estimate@2.71B@2.48B@10.17B@10.89B
Low Estimate@2.42B@2.28B@9.6B@9.65B
High Estimate@2.88B@2.8B@10.95B@12.37B
Year Ago Sales@2.69B@2.65B@10.72B@10.17B
