Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.97@0.77@3.33@3.67
7 Days Ago@0.78@0.71@3.07@3.41
30 Days Ago@0.78@0.71@3.05@3.37
60 Days Ago@0.7@0.7@2.96@3.33
90 Days Ago@0.72@0.71@3.06@3.41
