Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@27@28@31
Avg. Estimate@0.97@0.77@3.33@3.67
Low Estimate@0.76@0.61@2.72@2.88
High Estimate@1.07@0.95@3.75@4.36
Year Ago EPS@0.68@0.67@2.83@3.33
