Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@15@15
Avg. Estimate@0.81@2.14@8.81@13.16
Low Estimate@-0.02@0.87@5.5@8.31
High Estimate@1.86@2.69@10.33@15.41
Year Ago EPS@3.25@3.43@12.76@8.81
