Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@14@17@17
Avg. Estimate@673.7M@948.4M@3.98B@4.99B
Low Estimate@493.6M@682M@3.28B@4.15B
High Estimate@933M@1.08B@4.53B@5.72B
Year Ago Sales@1.1B@1.13B@4.48B@3.98B
