Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.81@2.14@8.81@13.16
7 Days Ago@0.83@2.14@8.83@13.16
30 Days Ago@0.83@2.14@8.74@12.96
60 Days Ago@2.09@2.87@11.27@14.12
90 Days Ago@3.33@3.49@13.46@15.48
