Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@17@16@32@32
Avg. Estimate@3.68B@4.17B@15.58B@17.89B
Low Estimate@3.55B@4.05B@15.08B@16.63B
High Estimate@3.82B@4.28B@16.6B@19.46B
Year Ago Sales@3.72B@3.96B@15.16B@15.58B
