Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.37@1.92@6.61@8.65
7 Days Ago@1.36@1.91@6.56@8.59
30 Days Ago@1.21@1.96@6.32@8.82
60 Days Ago@9.26@13.98@45.74@63.37
90 Days Ago@9.18@13.84@45.8@63.43
