Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@17@16@27@27
Avg. Estimate@1.37@1.92@6.61@8.65
Low Estimate@0.86@1.21@4.75@5.52
High Estimate@1.76@2.24@8.7@10.57
Year Ago EPS@1.43@1.78@7.37@6.61
