OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@19,961,852@-2,622,920@-11.614%@$3,617,686
VANGUARD GROUP INC@03/31/2020@10,269,993@294,835@2.956%@$1,861,231
BLACKROCK INC.@03/31/2020@8,659,282@521,094@6.403%@$1,569,322
FMR LLC@03/31/2020@7,910,951@-4,100,676@-34.139%@$1,433,702
MORGAN STANLEY@03/31/2020@7,390,238@-2,180,932@-22.786%@$1,339,333
