Firm@To Grade@From Grade@Action
UBS@Neutral@@init
Canaccord Genuity@Buy@@init
William Blair@Outperform@@init
Goldman Sachs@Neutral@@init
JP Morgan@Neutral@@init
Pacific Crest@Outperform@@init
Wells Fargo@Outperform@@init
Cowen & Co.@Outperform@@init
JMP Securities@Market Outperform@@init
PiperJaffray@Neutral@@init
JP Morgan@Neutral@@main
JP Morgan@Neutral@@main
Stifel Nicolaus@Hold@@init
Evercore Partners@Equal-Weight@@init
Baird@Neutral@@init
Northland Securities@Market Perform@@init
Barclays@Equal-Weight@@init
Citigroup@Neutral@@init
FBN Securities@Sector Perform@@init
Jefferies@Buy@@init
Wedbush@Outperform@@init
Wedbush@Outperform@@init
Jefferies@Buy@@init
Oppenheimer@Outperform@@init
Oppenheimer@Outperform@@init
PiperJaffray@Neutral@@main
FBR Capital@Market Perform@@init
Susquehanna@Neutral@@init
BMO Capital@Market Perform@@main
Jefferies@Buy@@main
BMO Capital@Market Perform@@main
Oppenheimer@Outperform@@main
Goldman Sachs@Neutral@@main
Wedbush@Outperform@@main
Janney Capital@Neutral@@init
Cowen & Co.@Market Perform@Outperform@down
Baird@Outperform@Neutral@up
Jefferies@Buy@@main
Macquarie@Neutral@@init
UBS@Buy@Neutral@up
Deutsche Bank@Hold@@init
FBR Capital@Outperform@Market Perform@up
FBN Securities@Sector Perform@@main
B. Riley@Neutral@@init
Barclays@Equal-Weight@@main
Canaccord Genuity@Buy@@main
DA Davidson@Neutral@@init
DA Davidson@Neutral@@init
Cantor Fitzgerald@Buy@@main
Barclays@Equal-Weight@@main
RBC Capital@Outperform@@init
Societe Generale@Hold@@init
Northland@Outperform@Market Perform@up
DA Davidson@Neutral@@main
Jefferies@Hold@@init
Jefferies@Hold@@main
PiperJaffray@Neutral@@init
First Analysis@Overweight@@init
Barclays@Overweight@Equal-weight@up
Nomura@Neutral@@main
Brean Capital@Hold@@init
Needham@Buy@@init
Jefferies@Hold@@main
Bernstein@Outperform@@init
Wunderlich@Hold@@init
Evercore ISI Group@Buy@Hold@up
Stephens & Co.@Equal-Weight@@main
Oppenheimer@Outperform@@main
DA Davidson@Buy@Neutral@up
JMP Securities@Market Outperform@@main
Wedbush@Outperform@@main
RBC Capital@Outperform@@main
Barclays@Overweight@@main
Deutsche Bank@Hold@@main
FBR Capital@Outperform@@main
Jefferies@Hold@@main
PiperJaffray@Neutral@@main
Baird@Outperform@@main
BTIG Research@Buy@@init
Lake Street@Hold@@init
RBC Capital@Outperform@@main
Wedbush@Neutral@@down
Drexel Hamilton@Buy@@main
Barclays@Equal-Weight@Overweight@down
Brean Capital@Hold@@init
Mitsubishi UFJ@Overweight@@init
Barclays@Equal-Weight@@main
Barclays@Equal-Weight@@main
OTR GLobal@Positive@Mixed@up
Nomura@Neutral@@main
Deutsche Bank@Hold@@main
Baird@Outperform@@main
JP Morgan@Overweight@Neutral@up
Pacific Crest@Overweight@@main
FBR Capital@Outperform@@main
Drexel Hamilton@Buy@@main
Oppenheimer@Outperform@@main
Citigroup@Buy@@main
Jefferies@Hold@@main
Cross Research@Buy@Hold@up
Macquarie@Underperform@@init
Pacific Crest@Sector Weight@Overweight@down
Macquarie@Underperform@@init
Brean Capital@Sell@Hold@down
Barclays@Equal-Weight@@main
Wunderlich@Hold@@main
Wedbush@Underperform@Neutral@down
Cross Research@Hold@Buy@down
Goldman Sachs@Neutral@@main
Drexel Hamilton@Buy@@main
BMO Capital@Market Perform@@init
Cowen & Co.@Market Perform@@init
Citigroup@Neutral@Buy@down
Stephens & Co.@Equal-Weight@@init
Needham@Hold@Buy@down
OTR Global@Mixed@Positive@down
Drexel Hamilton@Buy@@main
Barclays@Equal-Weight@@main
Brean Capital@Sell@@main
Goldman Sachs@Neutral@@main
UBS@Buy@@main
BTIG Research@Buy@@main
Wunderlich@Buy@@main
Morgan Stanley@Equal-Weight@@main
Jefferies@Hold@@main
BMO Capital@Market Perform@@main
Nomura@Neutral@@main
Pacific Crest@Sector Weight@@main
Barclays@Equal-Weight@@main
Oppenheimer@Outperform@@main
DA Davidson@Buy@@main
JMP Securities@Market Outperform@@main
Canaccord Genuity@Buy@@main
Drexel Hamilton@Buy@@main
Citigroup@Neutral@@main
Baird@Outperform@@main
Citigroup@Neutral@@main
Brean Capital@Sell@@main
Jefferies@Hold@@main
UBS@Buy@@main
Citigroup@Neutral@@main
BTIG Research@Buy@@main
Wedbush@Neutral@Underperform@up
Baird@Outperform@@main
Nomura@Neutral@@main
Oppenheimer@Outperform@@main
Canaccord Genuity@Buy@@main
DA Davidson@Buy@@main
PiperJaffray@Overweight@Neutral@up
Citigroup@Sell@Neutral@down
Bernstein@Market Perform@Outperform@down
BTIG Research@Neutral@Buy@down
BMO Capital@Market Perform@@main
Credit Suisse@Neutral@@main
Deutsche Bank@Hold@@main
Canaccord Genuity@Buy@@main
Barclays@Equal-Weight@@main
Barclays@Equal-Weight@@main
KeyBanc@Overweight@Sector Weight@up
Morgan Stanley@Overweight@Equal-Weight@up
Needham@Buy@Hold@up
Deutsche Bank@Hold@Hold@main
Cowen & Co.@Market Perform@Market Perform@main
Macquarie@Neutral@Underperform@up
Bank of America@Buy@Buy@main
KeyBanc@Overweight@Overweight@main
JMP Securities@Market Outperform@Market Outperform@main
Credit Suisse@Neutral@Neutral@main
Stifel Nicolaus@Hold@Hold@main
Canaccord Genuity@Buy@Buy@main
BMO Capital@Market Perform@Market Perform@main
Barclays@Equal-Weight@Equal-Weight@main
Citigroup@Sell@Sell@main
KeyBanc@Overweight@Overweight@main
B. Riley FBR@Neutral@@main
BMO Capital@Market Perform@Market Perform@main
Barclays@Equal-Weight@Equal-Weight@main
Credit Suisse@Neutral@Neutral@main
KeyBanc@Overweight@Overweight@main
KeyBanc@Overweight@Overweight@main
Stifel Nicolaus@Hold@Hold@main
Wells Fargo@Market Perform@Market Perform@main
Morgan Stanley@Overweight@Overweight@main
BMO Capital@Market Perform@Market Perform@main
Deutsche Bank@Hold@Hold@main
Credit Suisse@Neutral@Neutral@main
Canaccord Genuity@Buy@Buy@main
Bernstein@Outperform@Market Perform@up
Credit Suisse@Neutral@Neutral@main
Jefferies@Hold@Hold@main
BMO Capital@Market Perform@Market Perform@main
KeyBanc@Overweight@Overweight@main
Morgan Stanley@Overweight@Overweight@main
KeyBanc@Overweight@Overweight@main
Cowen & Co.@Outperform@Market Perform@up
KeyBanc@Overweight@Overweight@main
Citigroup@Sell@Sell@main
Wedbush@Neutral@Neutral@main
Barclays@Equal-Weight@Equal-Weight@main
Deutsche Bank@Hold@Hold@main
Citigroup@Sell@Sell@main
Morgan Stanley@Overweight@@main
Wedbush@Neutral@@main
Stifel Nicolaus@Hold@@main
Wells Fargo@Market Perform@@main
Canaccord Genuity@Buy@@main
UBS@Sell@@main
Bank of America@Buy@@main
Citi@Neutral@Sell@up
Stifel@Hold@@main
BMO Capital@Market Perform@@main
Goldman Sachs@Buy@Neutral@up
RBC Capital@Outperform@@main
Canaccord Genuity@Buy@@main
Evercore ISI Group@Outperform@In-Line@up
Societe Generale@Hold@Sell@up
Morgan Stanley@Equal-Weight@Overweight@down
Compass Point@Neutral@Buy@down
JP Morgan@Overweight@@main
Wedbush@Neutral@@main
Baird@Outperform@@main
Morgan Stanley@Equal-Weight@@main
Goldman Sachs@Buy@@main
Societe Generale@Sell@Hold@down
Baird@Outperform@@main
Stifel Nicolaus@Hold@@main
Canaccord Genuity@Buy@@main
JP Morgan@Overweight@@main
Oppenheimer@Outperform@@main
Morgan Stanley@Equal-Weight@@main
Piper Sandler@Neutral@@main
Needham@Buy@@main
Morgan Stanley@Overweight@Equal-Weight@up
Cowen & Co.@Market Perform@Outperform@down
RBC Capital@Outperform@@reit
Needham@Buy@@main
Mizuho@Buy@@main
Morgan Stanley@Overweight@@main
Citigroup@Neutral@@main
Deutsche Bank@Hold@@main
Stifel@Hold@@main
Cowen & Co.@Market Perform@@main
Piper Sandler@Neutral@@main
