Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@29@29@30@30
Avg. Estimate@0.66@0.6@2.28@2.77
Low Estimate@0.53@0.54@2.11@2.29
High Estimate@0.71@0.68@2.63@3.23
Year Ago EPS@0.44@0.53@1.88@2.28
