Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.66@0.6@2.28@2.77
7 Days Ago@0.66@0.6@2.24@2.72
30 Days Ago@0.51@0.56@2.1@2.71
60 Days Ago@0.52@0.57@2.15@2.71
90 Days Ago@0.52@0.58@2.23@2.79
