Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@27@27@31@31
Avg. Estimate@1.04B@1.05B@4.19B@4.92B
Low Estimate@1.04B@1.01B@4.18B@4.75B
High Estimate@1.06B@1.1B@4.31B@5.33B
Year Ago Sales@N/A@938.1M@3.63B@4.19B
