Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@5@5@10@10
Avg. Estimate@2.6B@3.46B@11.93B@12.46B
Low Estimate@2.01B@3.13B@11.29B@12B
High Estimate@2.96B@4.42B@12.56B@13B
Year Ago Sales@2.58B@3.01B@11.53B@11.93B
