Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.48@1.1@2.76@2.95
7 Days Ago@0.48@1.1@2.76@2.95
30 Days Ago@0.48@1.07@2.76@2.96
60 Days Ago@0.51@1.08@2.78@2.96
90 Days Ago@0.5@1.09@2.79@2.95
