Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@9@9@14@15
Avg. Estimate@0.48@1.1@2.76@2.95
Low Estimate@0.36@1.04@2.67@2.92
High Estimate@0.54@1.18@2.8@3.01
Year Ago EPS@0.46@1.01@2.64@2.76
