OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@66,382,061@1,635,680@2.526%@$4,934,179
CAPITAL WORLD INVESTORS@03/31/2020@60,681,919@3,886,502@6.843%@$4,510,487
BLACKROCK INC.@03/31/2020@47,118,300@-476,197@-1.001%@$3,502,303
CAPITAL RESEARCH GLOBAL INVESTORS@03/31/2020@46,089,232@-8,109,719@-14.963%@$3,425,813
STATE STREET CORP@03/31/2020@33,229,296@-716,921@-2.112%@$2,469,934
