Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@25@24@28@28
Avg. Estimate@0.7@0.88@3.53@4.13
Low Estimate@0.6@0.64@3@3.75
High Estimate@0.8@1@3.82@4.53
Year Ago EPS@1.08@1.08@4.17@3.53
