Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@24@24
Avg. Estimate@2.39B@2.62B@10.6B@11.32B
Low Estimate@2.25B@2.36B@10.05B@10.63B
High Estimate@2.56B@2.91B@11.24B@12.03B
Year Ago Sales@3.06B@2.98B@11.94B@10.6B
