Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.7@0.88@3.53@4.13
7 Days Ago@0.69@0.87@3.51@4.13
30 Days Ago@0.7@0.86@3.52@4.14
60 Days Ago@0.88@0.96@3.8@4.35
90 Days Ago@1.08@1.11@4.18@4.63
