Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.23@0.54@4.34@6.09
7 Days Ago@0.24@0.56@4.37@6.05
30 Days Ago@0.25@0.61@4.42@6.05
60 Days Ago@0.25@0.66@4.48@6.04
90 Days Ago@0.86@1.1@5.75@6.8
