Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@30@29@33@33
Avg. Estimate@682.01M@806.56M@4.03B@4.92B
Low Estimate@552.4M@554.04M@3.44B@3.77B
High Estimate@810.9M@1.03B@4.49B@5.5B
Year Ago Sales@755.17M@N/A@3.98B@4.03B
