Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@32@31@35@35
Avg. Estimate@0.23@0.54@4.34@6.09
Low Estimate@-0.21@-0.28@2.58@4.42
High Estimate@0.55@0.92@5.19@7.07
Year Ago EPS@0.74@0.96@4.93@4.34
