Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@28@29@29
Avg. Estimate@0.94@1.13@4.41@5.34
Low Estimate@0.8@1@4.15@4.55
High Estimate@1.16@1.21@4.82@6
Year Ago EPS@0.98@1.02@4@4.41
