Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.94@1.13@4.41@5.34
7 Days Ago@0.94@1.13@4.41@5.34
30 Days Ago@0.99@1.12@4.46@5.4
60 Days Ago@1.15@1.22@4.76@5.64
90 Days Ago@1.23@1.28@4.96@5.85
