Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@22@23
Avg. Estimate@3.31B@3.44B@13.97B@15.01B
Low Estimate@3.16B@3.18B@13.25B@14.16B
High Estimate@3.53B@3.68B@14.53B@15.61B
Year Ago Sales@1.51B@3.62B@14.45B@13.97B
