OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
ADVISOR GROUP HOLDINGS, INC.@03/31/2020@35,429,155@35,362,888@53364.251%@$89,425,313
VANGUARD GROUP INC@03/31/2020@32,975,915@911,807@2.844%@$83,233,188
BLACKROCK INC.@03/31/2020@27,023,092@315,615@1.182%@$68,207,906
STATE STREET CORP@03/31/2020@16,267,474@-638,583@-3.777%@$41,060,080
FMR LLC@03/31/2020@15,839,627@184,820@1.181%@$39,980,169
