Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@37@37@41@43
Avg. Estimate@1.29@4.63@18.93@37.56
Low Estimate@-2.38@1.45@10.82@17.85
High Estimate@3.49@9@27.86@60.22
Year Ago EPS@5.22@4.23@23.01@18.93
