Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.29@4.63@18.93@37.56
7 Days Ago@1.27@4.61@18.86@37.54
30 Days Ago@2.17@5.11@21.6@38.22
60 Days Ago@6.11@6.96@28.25@39.74
90 Days Ago@6.29@7.09@28.75@40.21
