Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@36@36@42@42
Avg. Estimate@80.11B@85.06B@345.58B@407.31B
Low Estimate@75.15B@81.01B@330.57B@382.11B
High Estimate@83.5B@89.23B@357.15B@427.74B
Year Ago Sales@63.4B@69.98B@280.52B@345.58B
