ActivePositions@Holders@Shares
Increased Positions@2,086@57,418,308
Decreased Positions@1,006@11,351,456
Held Positions@206@259,982,007
Total Institutional Shares@3,298@328,751,771
New Positions@290@3,739,634
Sold Out Positions@114@1,331,281
