Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@21@25@25
Avg. Estimate@12.08B@12.27B@49.23B@49.64B
Low Estimate@11.95B@11.84B@49.1B@47.74B
High Estimate@12.18B@12.97B@49.33B@51.27B
Year Ago Sales@13.43B@13.16B@51.9B@49.23B
