Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.74@0.75@3.15@3.15
7 Days Ago@0.74@0.75@3.15@3.15
30 Days Ago@0.71@0.76@3.06@3.15
60 Days Ago@0.75@0.79@3.11@3.21
90 Days Ago@0.83@0.84@3.25@3.39
