Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@24@24@27@27
Avg. Estimate@0.74@0.75@3.15@3.15
Low Estimate@0.73@0.7@3.14@2.98
High Estimate@0.75@0.84@3.17@3.34
Year Ago EPS@0.83@0.84@3.1@3.15
